r_sample,c_sample,auc_max,std,best_round
0.5,0.5,0.840054,0.009537,69
0.5,0.6,0.840256,0.009075,72
0.5,0.7,0.838862,0.013704,67
0.5,0.8,0.840839,0.009028,63
0.6,0.5,0.839379,0.007458,80
0.6,0.6,0.840743,0.016067,90
0.6,0.7,0.839713,0.010869,55
0.6,0.8,0.840699,0.012858,64
0.7,0.5,0.839617,0.010714,93
0.7,0.6,0.840769,0.013553,79
0.7,0.7,0.840655,0.008941,68
0.7,0.8,0.840071,0.01157,63
0.8,0.5,0.840133,0.011495,82
0.8,0.6,0.84037,0.008957,73
0.8,0.7,0.840856,0.007804,83
0.8,0.8,0.840025,0.011746,76
