gamma,auc_max,std,best_round
0,0.841602333333333,0.00456366666666667,85
0.1,0.839785333333333,0.009269,77
0.2,0.840766333333333,0.0103623333333333,81.5
0.3,0.839604333333333,0.0129063333333333,68
0.4,0.840375333333333,0.00995266666666667,60.3333333333333
0.5,0.840952333333333,0.00665833333333333,67
0.6,0.840611666666667,0.0110256666666667,74.3333333333333
0.7,0.841025,0.00780333333333333,99.3333333333333
0.8,0.841396666666667,0.012511,75
0.9,0.840132666666667,0.010299,75
1,0.842037333333333,0.00571066666666667,69
